Package,Version,Source
adduser,3.118ubuntu2,
apt,2.0.2,
base-files,11ubuntu5,
base-passwd,3.5.47,
bash,5.0-6ubuntu1,
bsdutils,1:2.34-0.1ubuntu9,util-linux (2.34-0.1ubuntu9)
bzip2,1.0.8-2,
coreutils,8.30-3ubuntu2,
dash,0.5.10.2-6,
debconf,1.5.73,
debianutils,4.9.1,
diffutils,1:3.7-3,
dpkg,1.19.7ubuntu3,
e2fsprogs,1.45.5-2ubuntu1,
fdisk,2.34-0.1ubuntu9,util-linux
findutils,4.7.0-1ubuntu1,
gcc-10-base,10-20200411-0ubuntu1,gcc-10
gpgv,2.2.19-3ubuntu2,gnupg2
grep,3.4-1,
gzip,1.10-0ubuntu4,
hostname,3.23,
init-system-helpers,1.57,
libacl1,2.2.53-6,acl
libapt-pkg6.0,2.0.2,apt
libattr1,1:2.4.48-5,attr
libaudit-common,1:2.8.5-2ubuntu6,audit
libaudit1,1:2.8.5-2ubuntu6,audit
libblkid1,2.34-0.1ubuntu9,util-linux
libbz2-1.0,1.0.8-2,bzip2
libc-bin,2.31-0ubuntu9,glibc
libc6,2.31-0ubuntu9,glibc
libcap-ng0,0.7.9-2.1build1,libcap-ng
libcom-err2,1.45.5-2ubuntu1,e2fsprogs
libcrypt1,1:4.4.10-10ubuntu4,libxcrypt
libdb5.3,5.3.28+dfsg1-0.6ubuntu2,db5.3
libdebconfclient0,0.251ubuntu1,cdebconf
libext2fs2,1.45.5-2ubuntu1,e2fsprogs
libfdisk1,2.34-0.1ubuntu9,util-linux
libffi7,3.3-4,libffi
libgcc-s1,10-20200411-0ubuntu1,gcc-10
libgcrypt20,1.8.5-5ubuntu1,
libgmp10,2:6.2.0+dfsg-4,gmp
libgnutls30,3.6.13-2ubuntu1,gnutls28
libgpg-error0,1.37-1,libgpg-error
libhogweed5,3.5.1+really3.5.1-2,nettle
libidn2-0,2.2.0-2,libidn2
liblz4-1,1.9.2-2,lz4
liblzma5,5.2.4-1,xz-utils
libmount1,2.34-0.1ubuntu9,util-linux
libncurses6,6.2-0ubuntu2,ncurses
libncursesw6,6.2-0ubuntu2,ncurses
libnettle7,3.5.1+really3.5.1-2,nettle
libp11-kit0,0.23.20-1build1,p11-kit
libpam-modules,1.3.1-5ubuntu4,pam
libpam-modules-bin,1.3.1-5ubuntu4,pam
libpam-runtime,1.3.1-5ubuntu4,pam
libpam0g,1.3.1-5ubuntu4,pam
libpcre2-8-0,10.34-7,pcre2
libpcre3,2:8.39-12build1,pcre3
libprocps8,2:3.3.16-1ubuntu2,procps
libseccomp2,2.4.3-1ubuntu1,libseccomp
libselinux1,3.0-1build2,libselinux
libsemanage-common,3.0-1build2,libsemanage
libsemanage1,3.0-1build2,libsemanage
libsepol1,3.0-1,libsepol
libsmartcols1,2.34-0.1ubuntu9,util-linux
libss2,1.45.5-2ubuntu1,e2fsprogs
libstdc++6,10-20200411-0ubuntu1,gcc-10
libsystemd0,245.4-4ubuntu3,systemd
libtasn1-6,4.16.0-2,
libtinfo6,6.2-0ubuntu2,ncurses
libudev1,245.4-4ubuntu3,systemd
libunistring2,0.9.10-2,libunistring
libuuid1,2.34-0.1ubuntu9,util-linux
libzstd1,1.4.4+dfsg-3,libzstd
login,1:4.8.1-1ubuntu5,shadow
logsave,1.45.5-2ubuntu1,e2fsprogs
lsb-base,11.1.0ubuntu2,lsb
mawk,1.3.4.20200120-2,
mount,2.34-0.1ubuntu9,util-linux
ncurses-base,6.2-0ubuntu2,ncurses
ncurses-bin,6.2-0ubuntu2,ncurses
passwd,1:4.8.1-1ubuntu5,shadow
perl-base,5.30.0-9build1,perl
procps,2:3.3.16-1ubuntu2,
sed,4.7-1,
sensible-utils,0.0.12+nmu1,
sysvinit-utils,2.96-2.1ubuntu1,sysvinit
tar,1.30+dfsg-7,
ubuntu-keyring,2020.02.11.2,
util-linux,2.34-0.1ubuntu9,
zlib1g,1:1.2.11.dfsg-2ubuntu1,zlib

