Package,License
adduser,GPL-2
apt,GPL-2
base-files,Artistic
base-passwd,GPL-2
bash,GPL-3
bsdutils,BSD
bzip2,BSD
coreutils,GPL-3
dash,BSD
debconf,BSD
debianutils,GPL
diffutils,GFDL
dpkg,BSD
e2fsprogs,BSD
fdisk,BSD
findutils,GFDL
gcc-10-base,Artistic
gpgv,BSD
grep,GPL-3
gzip,GPL
hostname,GPL-2
init-system-helpers,BSD
libacl1,GPL-2
libapt-pkg6.0,GPL-2
libattr1,GPL-2
libaudit-common,GPL-1
libaudit1,GPL-1
libblkid1,BSD
libbz2-1.0,BSD
libc-bin,BSD
libc6,BSD
libcap-ng0,GPL-2
libcom-err2,None
libcrypt1,BSD
libdb5.3,ISC
libdebconfclient0,ISC
libext2fs2,BSD
libfdisk1,BSD
libffi7,GPL
libgcc-s1,Artistic
libgcrypt20,BSD
libgmp10,GFDL
libgnutls30,Apache-2.0
libgpg-error0,BSD
libhogweed5,GPL-2
libidn2-0,GPL-2
liblz4-1,BSD
liblzma5,GPL-2
libmount1,BSD
libncurses6,ISC
libncursesw6,ISC
libnettle7,GPL-2
libp11-kit0,BSD-3-Clause
libpam-modules,BSD
libpam-modules-bin,BSD
libpam-runtime,BSD
libpam0g,BSD
libpcre2-8-0,BSD
libpcre3,BSD
libprocps8,GPL-2
libseccomp2,GPL-2
libselinux1,GPL-2
libsemanage-common,GPL
libsemanage1,GPL
libsepol1,GPL
libsmartcols1,BSD
libss2,None
libstdc++6,Artistic
libsystemd0,CC0-1.0
libtasn1-6,GFDL
libtinfo6,ISC
libudev1,CC0-1.0
libunistring2,GFDL
libuuid1,BSD
libzstd1,BSD
login,BSD
logsave,BSD
lsb-base,BSD
mawk,GPL-2
mount,BSD
ncurses-base,ISC
ncurses-bin,ISC
passwd,BSD
perl-base,Artistic
procps,GPL-2
sed,GPL-3
sensible-utils,GPL-2
sysvinit-utils,GPL-2
tar,GPL-2
ubuntu-keyring,GPL
util-linux,BSD
zlib1g,Zlib

